Position,Const,Created,Modified,Description,Name,Known For,Birth Date
27,nm0000354,2025-11-15,2025-11-15,,"Matt Damon","Good Will Hunting","October 8, 1970"
28,nm0413168,2025-11-15,2025-11-15,,"Hugh Jackman","Les Misérables","October 12, 1968"
29,nm2017943,2025-11-15,2025-11-15,,"Hayley Atwell","Captain America: The First Avenger","April 5, 1982"
30,nm0461136,2025-11-15,2025-11-15,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","March 26, 1985"
31,nm0001401,2025-11-15,2025-11-15,,"Angelina Jolie","Maleficent","June 4, 1975"
32,nm6073955,2025-11-15,2025-11-15,,"Florence Pugh","The Falling","January 3, 1996"
33,nm0000606,2025-11-15,2025-11-15,,"Jean Reno","Léon","July 30, 1948"
34,nm0000171,2025-11-15,2025-11-15,,"Ashley Judd","Double Jeopardy","April 19, 1968"
35,nm0000126,2025-11-15,2025-11-15,,"Kevin Costner","The Postman","January 18, 1955"
36,nm0647634,2025-11-15,2025-11-15,,"Elizabeth Olsen","Martha Marcy May Marlene","February 16, 1989"
37,nm0000474,2025-11-15,2025-11-15,,"Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","September 5, 1951"
38,nm0001337,2025-11-15,2025-11-15,,"Katherine Heigl","One for the Money","November 24, 1978"
39,nm0000194,2025-11-15,2025-11-15,,"Julianne Moore","Far from Heaven","December 3, 1960"
40,nm1165110,2025-11-15,2025-11-15,,"Chris Hemsworth","The Avengers","August 11, 1983"
41,nm0000379,2025-11-15,2025-11-15,,"Kirsten Dunst","Spider-Man","April 30, 1982"
42,nm0915208,2025-11-15,2025-11-15,,"Naomi Watts","Mulholland Dr.","September 28, 1968"
43,nm0005466,2025-11-15,2025-11-15,,"Julia Stiles","10 Things I Hate About You","March 28, 1981"
44,nm0000654,2025-11-15,2025-11-15,,"Terence Stamp","The Limey","July 22, 1938"
45,nm0749263,2025-11-15,2025-11-15,,"Mark Ruffalo","Spotlight","November 22, 1967"
46,nm0000136,2025-11-15,2025-11-15,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","June 9, 1963"
47,nm0424060,2025-11-15,2025-11-15,,"Scarlett Johansson","Lost in Translation","November 22, 1984"
48,nm0005023,2025-11-15,2025-11-15,,"Djimon Hounsou","Blood Diamond","April 24, 1964"
49,nm0000702,2025-11-15,2025-11-15,,"Reese Witherspoon","Wild","March 22, 1976"
50,nm0000204,2025-11-15,2025-11-15,,"Natalie Portman","Black Swan","June 9, 1981"
51,nm2605345,2025-11-15,2025-11-15,,"Gemma Arterton","Prince of Persia: The Sands of Time","February 2, 1986"
52,nm0000115,2025-11-15,2025-11-15,,"Nicolas Cage","Face/Off","January 7, 1964"
53,nm0000129,2025-11-15,2025-11-15,,"Tom Cruise","Top Gun","July 3, 1962"
54,nm1517976,2025-11-15,2025-11-15,,"Chris Pine","Star Trek","August 26, 1980"
55,nm0001659,2025-11-15,2025-11-15,,"Christopher Reeve","Superman","September 25, 1952"
56,nm0000168,2025-11-15,2025-11-15,,"Samuel L. Jackson","Pulp Fiction","December 21, 1948"
57,nm2225369,2025-11-15,2025-11-15,,"Jennifer Lawrence","The Hunger Games","August 15, 1990"
58,nm0000157,2025-11-15,2025-11-15,,"Linda Hamilton","Terminator 2: Judgment Day","September 26, 1956"
59,nm0000093,2025-11-15,2025-11-15,,"Brad Pitt","Fight Club","December 18, 1963"
60,nm0000173,2025-11-15,2025-11-15,,"Nicole Kidman","Moulin Rouge!","June 20, 1967"
61,nm0000190,2025-11-15,2025-11-15,,"Matthew McConaughey","Interstellar","November 4, 1969"
62,nm0000212,2025-11-15,2025-11-15,,"Meg Ryan","When Harry Met Sally...","November 19, 1961"
63,nm0000210,2025-11-15,2025-11-15,,"Julia Roberts","Pretty Woman","October 28, 1967"
64,nm0001838,2025-11-15,2025-11-15,,"Rachel Weisz","The Constant Gardener","March 7, 1970"
65,nm0350453,2025-11-15,2025-11-15,,"Jake Gyllenhaal","Nightcrawler","December 19, 1980"
66,nm0000982,2025-11-15,2025-11-15,,"Josh Brolin","No Country for Old Men","February 12, 1968"
67,nm1940449,2025-11-15,2025-11-15,,"Andrew Garfield","Hacksaw Ridge","August 20, 1983"
68,nm0451321,2025-11-15,2025-11-15,,"Shah Rukh Khan","Don 2","November 2, 1965"
69,nm0000899,2025-11-15,2025-11-15,,"Monica Bellucci","Malèna","September 30, 1964"
70,nm0000201,2025-11-15,2025-11-15,,"Michelle Pfeiffer","The Fabulous Baker Boys","April 29, 1958"
71,nm0000237,2025-11-15,2025-11-15,,"John Travolta","Pulp Fiction","February 18, 1954"
72,nm0000151,2025-11-15,2025-11-15,,"Morgan Freeman","Se7en","June 1, 1937"
73,nm0000120,2025-11-15,2025-11-15,,"Jim Carrey","Ace Ventura: Pet Detective","January 17, 1962"
74,nm0005028,2025-11-15,2025-11-15,,"Kate Hudson","Almost Famous","April 19, 1979"
75,nm0000224,2025-11-15,2025-11-15,,"Alicia Silverstone","Clueless","October 4, 1976"
76,nm0000518,2025-11-15,2025-11-15,,"John Malkovich","In the Line of Fire","December 9, 1953"
77,nm0000206,2025-11-15,2025-11-15,,"Keanu Reeves","The Matrix","September 2, 1964"
78,nm0659363,2025-11-15,2025-11-15,,"Hayden Panettiere","Heroes","August 21, 1989"
79,nm0748620,2025-11-15,2025-11-15,,"Paul Rudd","Ant-Man","April 6, 1969"
80,nm0001804,2025-11-15,2025-11-15,,"Stanley Tucci","Big Night","November 11, 1960"
81,nm0719637,2025-11-15,2025-11-15,,"Jeremy Renner","The Hurt Locker","January 7, 1971"
82,nm0695435,2025-11-15,2025-11-15,,"Chris Pratt","Guardians of the Galaxy","June 21, 1979"
83,nm0000668,2025-11-15,2025-11-15,,"Emma Thompson","Sense and Sensibility","April 15, 1959"
84,nm1212722,2025-11-15,2025-11-15,,"Benedict Cumberbatch","The Imitation Game","July 19, 1976"
85,nm1209966,2025-11-15,2025-11-15,,"Oscar Isaac","Ex Machina","March 9, 1979"
86,nm0010736,2025-11-15,2025-11-15,,"Amy Adams","Arrival","August 20, 1974"
87,nm0000223,2025-11-15,2025-11-15,,"Elisabeth Shue","Leaving Las Vegas","October 6, 1963"
88,nm0000128,2025-11-15,2025-11-15,,"Russell Crowe","Les Misérables","April 7, 1964"
89,nm1567113,2025-11-15,2025-11-15,,"Jessica Chastain","Zero Dark Thirty","March 24, 1977"
90,nm1659547,2025-11-15,2025-11-15,,"Carey Mulligan","Never Let Me Go","May 28, 1985"
91,nm1089991,2025-11-15,2025-11-15,,"Tom Hiddleston","The Avengers","February 9, 1981"
92,nm0000677,2025-11-15,2025-11-15,,"Robin Tunney","The Craft","June 19, 1972"
93,nm0000150,2025-11-15,2025-11-15,,"Michael J. Fox","Back to the Future","June 9, 1961"
94,nm0607865,2025-11-15,2025-11-15,,"Emily Mortimer","Mary Poppins Returns","October 6, 1971"
95,nm0000349,2025-11-15,2025-11-15,,"Joan Cusack","In & Out","October 11, 1962"
96,nm0000358,2025-11-15,2025-11-15,,"Daniel Day-Lewis","There Will Be Blood","April 29, 1957"
97,nm0005392,2025-11-15,2025-11-15,,"Keri Russell","Mission: Impossible III","March 23, 1976"
98,nm3069650,2025-11-15,2025-11-15,,"Jodie Comer","The Last Duel","March 11, 1993"
99,nm4141252,2025-11-15,2025-11-15,,"Lily James","Cinderella","April 5, 1989"
100,nm0939697,2025-11-15,2025-11-15,,"Evan Rachel Wood","Thirteen","September 7, 1987"
101,nm0704270,2025-11-15,2025-11-15,,"Zachary Quinto","Star Trek","June 2, 1977"
102,nm0000113,2025-11-15,2025-11-15,,"Sandra Bullock","The Proposal","July 26, 1964"
103,nm0001618,2025-11-15,2025-11-15,,"Joaquin Phoenix","Walk the Line","October 28, 1974"
104,nm0005381,2025-11-15,2025-11-15,,"Rebecca Romijn","X-Men","November 6, 1972"
105,nm0000098,2025-11-15,2025-11-15,,"Jennifer Aniston","Friends","February 11, 1969"
106,nm0177896,2025-11-15,2025-11-15,,"Bradley Cooper","A Star Is Born","January 5, 1975"
107,nm0005351,2025-11-15,2025-11-15,,"Ryan Reynolds","Deadpool 2","October 23, 1976"
108,nm0126284,2025-11-15,2025-11-15,,"Rose Byrne","Spy","July 24, 1979"
109,nm0001426,2025-11-15,2025-11-15,,"Ben Kingsley","Sexy Beast","December 31, 1943"
110,nm2794962,2025-11-15,2025-11-15,,"Hailee Steinfeld","True Grit","December 11, 1996"
111,nm0564215,2025-11-15,2025-11-15,,"James McAvoy","Filth","April 21, 1979"
112,nm0000106,2025-11-15,2025-11-15,,"Drew Barrymore","Charlie's Angels","February 22, 1975"
113,nm0004051,2025-11-15,2025-11-15,,"Brian Cox","Succession","June 1, 1946"
114,nm1429380,2025-11-15,2025-11-15,,"Britt Robertson","Tomorrowland","April 18, 1990"
115,nm0000348,2025-11-15,2025-11-15,,"Tony Curtis","Sweet Smell of Success","June 3, 1925"
116,nm0000621,2025-11-15,2025-11-15,,"Kurt Russell","Escape from New York","March 17, 1951"
117,nm2552034,2025-11-15,2025-11-15,,"Melissa Benoist","Supergirl","October 4, 1988"
118,nm4032297,2025-11-15,2025-11-15,,"Chloe Bennet","Agents of S.H.I.E.L.D.","April 18, 1992"
119,nm1055413,2025-11-15,2025-11-15,,"Michael Fassbender","Shame","April 2, 1977"
120,nm0004742,2025-11-15,2025-11-15,,"Maria Bello","A History of Violence","April 18, 1967"
121,nm0000604,2025-11-15,2025-11-15,,"John C. Reilly","Chicago","May 24, 1965"
122,nm0000456,2025-11-15,2025-11-15,,"Holly Hunter","Broadcast News","March 20, 1958"
123,nm3849842,2025-11-15,2025-11-15,,"Sophie Turner","Game of Thrones","February 21, 1996"
124,nm0000377,2025-11-15,2025-11-15,,"Richard Dreyfuss","The Goodbye Girl","October 29, 1947"
125,nm0000244,2025-11-15,2025-11-15,,"Sigourney Weaver","Alien: Resurrection","October 8, 1949"
126,nm0430107,2025-11-15,2025-11-15,,"Michael B. Jordan","Black Panther","February 9, 1987"
127,nm1192254,2025-11-15,2025-11-15,,"Maggie Grace","Taken","September 21, 1983"
128,nm0001497,2025-11-15,2025-11-15,,"Tobey Maguire","Brothers","June 27, 1975"
129,nm0000640,2025-11-15,2025-11-15,,"Martin Sheen","The Departed","August 3, 1940"
130,nm0001788,2025-11-15,2025-11-15,,"Jessica Tandy","Driving Miss Daisy","June 7, 1909"
131,nm0000437,2025-11-15,2025-11-15,,"Woody Harrelson","True Detective","July 23, 1961"
132,nm0000110,2025-11-15,2025-11-15,,"Kenneth Branagh","Henry V","December 10, 1960"
133,nm0881631,2025-11-15,2025-11-15,,"Karl Urban","Star Trek","June 7, 1972"
134,nm0000307,2025-11-15,2025-11-15,,"Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","May 26, 1966"
135,nm0079273,2025-11-15,2025-11-15,,"Paul Bettany","WandaVision","May 27, 1971"
136,nm8908475,2025-11-15,2025-11-15,,"Isabel May","1883","November 21, 2000"
137,nm0117709,2025-11-15,2025-11-15,,"Daniel Brühl","Inglourious Basterds","June 16, 1978"
138,nm0000164,2025-11-15,2025-11-15,,"Anthony Hopkins","The Silence of the Lambs","December 31, 1937"
139,nm0757855,2025-11-15,2025-11-15,,"Zoe Saldaña","Avatar","June 19, 1978"
140,nm1569276,2025-11-15,2025-11-15,,"Chadwick Boseman","Black Panther","November 29, 1976"
141,nm2539953,2025-11-15,2025-11-15,,"Alicia Vikander","Ex Machina","October 3, 1988"
142,nm0000199,2025-11-15,2025-11-15,,"Al Pacino","Serpico","April 25, 1940"
143,nm0000598,2025-11-15,2025-11-15,,"Dennis Quaid","Far from Heaven","April 9, 1954"
144,nm0680983,2025-11-15,2025-11-15,,"Elliot Page","Juno","February 21, 1987"
145,nm0000323,2025-11-15,2025-11-15,,"Michael Caine","Youth","March 14, 1933"
146,nm0000329,2025-11-15,2025-11-15,,"Jackie Chan","Ngo si seoi","April 7, 1954"
147,nm0629697,2025-11-15,2025-11-15,,"Rachel Nichols","G.I. Joe: The Rise of Cobra","January 8, 1980"
148,nm0000547,2025-11-15,2025-11-15,,"Alfred Molina","Spider-Man 2","May 24, 1953"
149,nm2394794,2025-11-15,2025-11-15,,"Karen Gillan","Selfie","November 28, 1987"
150,nm0005212,2025-11-15,2025-11-15,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","May 25, 1939"
151,nm0397634,2025-11-15,2025-11-15,,"Terence Howard","The Other 'Arf",
152,nm4043618,2025-11-15,2025-11-15,,"Tom Holland","Spider-Man: Homecoming","June 1, 1996"
153,nm1214435,2025-11-15,2025-11-15,,"Charlie Cox","Daredevil","December 15, 1982"
154,nm0362766,2025-11-15,2025-11-15,,"Tom Hardy","Inception","September 15, 1977"
155,nm0000125,2025-11-15,2025-11-15,,"Sean Connery","Dr. No","August 25, 1930"
156,nm0000332,2025-11-15,2025-11-15,,"Don Cheadle","Crash","November 29, 1964"
157,nm0001876,2025-11-15,2025-11-15,,"Catherine Zeta-Jones","Chicago","September 25, 1969"
158,nm0051509,2025-11-15,2025-11-15,,"Eric Bana","Dirty John","August 9, 1968"
159,nm1289434,2025-11-15,2025-11-15,,"Emily Blunt","Edge of Tomorrow","February 23, 1983"
160,nm5611121,2025-11-15,2025-11-15,,"Millie Bobby Brown","Enola Holmes","February 19, 2004"
161,nm0268199,2025-11-15,2025-11-15,,"Colin Farrell","The Lobster","May 31, 1976"
162,nm0000288,2025-11-15,2025-11-15,,"Christian Bale","The Dark Knight","January 30, 1974"
163,nm0000134,2025-11-15,2025-11-15,,"Robert De Niro","Cape Fear","August 17, 1943"
164,nm0334318,2025-11-15,2025-11-15,,"Stephen Graham","This Is England","August 3, 1973"
165,nm0000169,2025-11-15,2025-11-15,,"Tommy Lee Jones","The Homesman","September 15, 1946"
166,nm0004695,2025-11-15,2025-11-15,,"Jessica Alba","Fantastic Four","April 28, 1981"
167,nm0004761,2025-11-15,2025-11-15,,"Rachel Blanchard","The Summer I Turned Pretty","March 19"
168,nm4722966,2025-11-15,2025-11-15,,"Virginia Gardner","Project Almanac","April 18, 1995"
169,nm8402992,2025-11-15,2025-11-15,,"Daisy Edgar-Jones","Normal People","May 24, 1998"
170,nm0180411,2025-11-15,2025-11-15,,"Abbie Cornish","Bright Star","August 7, 1982"
171,nm1982510,2025-11-15,2025-11-15,,"Jenna Coleman","Victoria","April 27, 1986"
172,nm3592338,2025-11-15,2025-11-15,,"Emilia Clarke","Game of Thrones","October 23, 1986"
173,nm1157048,2025-11-15,2025-11-15,,"Zachary Levi","Shazam!","September 29, 1980"
174,nm0000138,2025-11-15,2025-11-15,,"Leonardo DiCaprio","Inception","November 11, 1974"
175,nm0000250,2025-11-15,2025-11-15,,"Renée Zellweger","Chicago","April 25, 1969"
176,nm1107001,2025-11-15,2025-11-15,,"Anthony Mackie","The Hurt Locker","September 23, 1978"
177,nm0000226,2025-11-15,2025-11-15,,"Will Smith","The Fresh Prince of Bel-Air","September 25, 1968"
178,nm0000932,2025-11-15,2025-11-15,,"Halle Berry","Catwoman","August 14, 1966"
179,nm3725055,2025-11-15,2025-11-15,,"Jessica Henwick","The Royal Hotel","August 30"
180,nm0488953,2025-11-15,2025-11-15,,"Brie Larson","Room","October 1, 1989"
181,nm0005132,2025-11-15,2025-11-15,,"Heath Ledger","Brokeback Mountain","April 4, 1979"
182,nm0000686,2025-11-15,2025-11-15,,"Christopher Walken","Catch Me If You Can","March 31, 1943"
183,nm0000213,2025-11-15,2025-11-15,,"Winona Ryder","Little Women","October 29, 1971"
184,nm0330687,2025-11-15,2025-11-15,,"Joseph Gordon-Levitt","Inception","February 17, 1981"
185,nm0765597,2025-11-15,2025-11-15,,"Peter Sarsgaard","Shattered Glass","March 7, 1971"
186,nm0003817,2025-11-15,2025-11-15,,"Michael Clarke Duncan","The Green Mile","December 10, 1957"
187,nm0000422,2025-11-15,2025-11-15,,"John Goodman","10 Cloverfield Lane","June 20, 1952"
188,nm0397171,2025-11-15,2025-11-15,,"Bryce Dallas Howard","Jurassic World: Dominion","March 2, 1981"
189,nm0185819,2025-11-15,2025-11-15,,"Daniel Craig","No Time to Die","March 2, 1968"
190,nm0000949,2025-11-15,2025-11-15,,"Cate Blanchett","Carol","May 14, 1969"
191,nm2933757,2025-11-15,2025-11-15,,"Gal Gadot","Wonder Woman","April 30, 1985"
192,nm1046097,2025-11-15,2025-11-15,,"Rachel McAdams","The Notebook","November 17, 1978"
193,nm1404239,2025-11-15,2025-11-15,,"Evan Peters","X-Men: Apocalypse","January 20, 1987"
194,nm0940362,2025-11-15,2025-11-15,,"Shailene Woodley","Divergent","November 15, 1991"
195,nm0147147,2025-11-15,2025-11-15,,"Henry Cavill","Man of Steel","May 5, 1983"
196,nm0913475,2025-11-15,2025-11-15,,"John David Washington","Tenet","July 28, 1984"
197,nm0068260,2025-11-15,2025-11-15,,"Jamie Bell","Billy Elliot","March 14, 1986"
198,nm0855039,2025-11-15,2025-11-15,,"David Tennant","Doctor Who","April 18, 1971"
199,nm0491048,2025-11-15,2025-11-15,,"Stan Laurel","Block-Heads","June 16, 1890"
200,nm0001316,2025-11-15,2025-11-15,,"Oliver Hardy","Block-Heads","January 18, 1892"
201,nm1469236,2025-11-15,2025-11-15,,"Olivia Colman","The Favourite","January 30, 1974"
202,nm0005476,2025-11-15,2025-11-15,,"Hilary Swank","Million Dollar Baby","July 30, 1974"
203,nm0001758,2025-11-15,2025-11-15,,"Timothy Spall","Mr. Turner","February 27, 1957"
204,nm0000132,2025-11-15,2025-11-15,,"Claire Danes","My So-Called Life","April 12, 1979"
205,nm0000102,2025-11-15,2025-11-15,,"Kevin Bacon","Footloose","July 8, 1958"
206,nm3239803,2025-11-15,2025-11-15,,"Kaitlyn Dever","Booksmart","December 21, 1996"
207,nm0001710,2025-11-15,2025-11-15,,"David Schwimmer","Friends","November 2, 1966"
208,nm0277213,2025-11-15,2025-11-15,,"Nathan Fillion","Castle","March 27, 1971"
209,nm0000285,2025-11-15,2025-11-15,,"Alec Baldwin","The Departed","April 3, 1958"
210,nm0005128,2025-11-15,2025-11-15,,"Lucy Lawless","Xena: Warrior Princess","March 29, 1968"
211,nm0799777,2025-11-15,2025-11-15,,"J.K. Simmons","Whiplash","January 9, 1955"
212,nm0227759,2025-11-15,2025-11-15,,"Peter Dinklage","Game of Thrones","June 11, 1969"
213,nm0001612,2025-11-15,2025-11-15,,"Matthew Perry","Friends","August 19, 1969"
214,nm1741002,2025-11-15,2025-11-15,,"Matt Smith","Doctor Who","October 28, 1982"
215,nm0000352,2025-11-15,2025-11-15,,"Vincent D'Onofrio","Men in Black","June 30, 1959"
216,nm0350454,2025-11-15,2025-11-15,,"Maggie Gyllenhaal","Secretary","November 16, 1977"
217,nm0000188,2025-11-15,2025-11-15,,"Steve Martin","Roxanne","August 14, 1945"
218,nm0001857,2025-11-15,2025-11-15,,"Henry Winkler","The Waterboy","October 30, 1945"
219,nm0000633,2025-11-15,2025-11-15,,"Tom Selleck","Blue Bloods","January 29, 1945"
220,nm0835016,2025-11-15,2025-11-15,,"Mark Strong","1917","August 5, 1963"
221,nm1250791,2025-11-15,2025-11-15,,"Sterling K. Brown","Black Panther","April 5, 1976"
222,nm0000653,2025-11-15,2025-11-15,,"Brent Spiner","Star Trek: First Contact","February 2, 1949"
223,nm1431940,2025-11-15,2025-11-15,,"Evangeline Lilly","Ant-Man","August 3, 1979"
224,nm0000100,2025-11-15,2025-11-15,,"Rowan Atkinson","Johnny English","January 6, 1955"
225,nm0001475,2025-11-15,2025-11-15,,"John Lithgow","The World According to Garp","October 19, 1945"
226,nm0005148,2025-11-15,2025-11-15,,"Delroy Lindo","Sinners","November 18, 1952"
227,nm0000704,2025-11-15,2025-11-15,,"Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","January 28, 1981"
228,nm0085312,2025-11-15,2025-11-15,,"Jack Black","High Fidelity","August 28, 1969"
229,nm0000104,2025-11-15,2025-11-15,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
230,nm0000401,2025-11-15,2025-11-15,,"Laurence Fishburne","The Matrix","July 30, 1961"
231,nm2962353,2025-11-15,2025-11-15,,"Pom Klementieff","Guardians of the Galaxy Vol. 3","May 3, 1986"
232,nm0001728,2025-11-15,2025-11-15,,"Wallace Shawn","My Dinner with Andre","November 12, 1943"
233,nm0991810,2025-11-15,2025-11-15,,"Mahershala Ali","Jurassic World: Rebirth","February 16, 1974"
234,nm1113550,2025-11-15,2025-11-15,,"Abigail Breslin","Little Miss Sunshine","April 14, 1996"
235,nm0000501,2025-11-15,2025-11-15,,"Ray Liotta","GoodFellas","December 18, 1954"
236,nm0000432,2025-11-15,2025-11-15,,"Gene Hackman","The French Connection","January 30, 1930"
237,nm0687146,2025-11-15,2025-11-15,,"Jesse Plemons","Bugonia","April 2, 1988"
238,nm0001737,2025-11-15,2025-11-15,,"Martin Short","Innerspace","March 26, 1950"
239,nm3014031,2025-11-15,2025-11-15,,"Rachel Brosnahan","The Marvelous Mrs. Maisel","July 12, 1990"
240,nm0267812,2025-11-15,2025-11-15,,"Vera Farmiga","Up in the Air","August 6, 1973"
241,nm0000630,2025-11-15,2025-11-15,,"Liev Schreiber","Spotlight","October 4, 1967"
242,nm0396558,2025-11-15,2025-11-15,,"Nicholas Hoult","About a Boy","December 7, 1989"
243,nm0000131,2025-11-15,2025-11-15,,"John Cusack","Grosse Pointe Blank","June 28, 1966"
244,nm0915989,2025-11-15,2025-11-15,,"Hugo Weaving","The Lord of the Rings: The Return of the King","April 4, 1960"
245,nm0000404,2025-11-15,2025-11-15,,"Jane Fonda","Klute","December 21, 1937"
246,nm0001749,2025-11-15,2025-11-15,,"Maggie Smith","Gosford Park","December 28, 1934"
247,nm0005299,2025-11-15,2025-11-15,,"Sarah Paulson","12 Years a Slave","December 17, 1974"
248,nm0001290,2025-11-15,2025-11-15,,"Richard E. Grant","Gosford Park","May 5, 1957"
249,nm0000402,2025-11-15,2025-11-15,,"Carrie Fisher","Star Wars","October 21, 1956"
250,nm0000291,2025-11-15,2025-11-15,,"Angela Bassett","Strange Days","August 16, 1958"
251,nm0000412,2025-11-15,2025-11-15,,"Andy Garcia","Ocean's Eleven","April 12, 1956"
252,nm0000295,2025-11-15,2025-11-15,,"Kate Beckinsale","Underworld: Evolution","July 26, 1973"
253,nm0000409,2025-11-15,2025-11-15,,"Brendan Fraser","The Mummy","December 3, 1968"
254,nm0001845,2025-11-15,2025-11-15,,"Forest Whitaker","The Last King of Scotland","July 15, 1961"
255,nm1024677,2025-11-15,2025-11-15,,"John Krasinski","Jack Ryan","October 20, 1979"
256,nm1659221,2025-11-15,2025-11-15,,"Sebastian Stan","Captain America: The Winter Soldier","August 13, 1982"
257,nm1869101,2025-11-15,2025-11-15,,"Ana de Armas","Knives Out","April 30, 1988"
258,nm0000216,2025-11-15,2025-11-15,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","July 30, 1947"
259,nm0001774,2025-11-15,2025-11-15,,"Ben Stiller","Tropic Thunder","November 30, 1965"
260,nm0001191,2025-11-15,2025-11-15,,"Adam Sandler","The Waterboy","September 9, 1966"
261,nm1312575,2025-11-15,2025-11-15,,"Olivia Wilde","Don't Worry Darling","March 10, 1984"
262,nm0000293,2025-11-15,2025-11-15,,"Sean Bean","The Lord of the Rings: The Fellowship of the Ring","April 17, 1959"
263,nm0001172,2025-11-15,2025-11-15,,"Christopher Eccleston","Thor: The Dark World","February 16, 1964"
264,nm0124930,2025-11-15,2025-11-15,,"Gerard Butler","300","November 13, 1969"
265,nm1157358,2025-11-15,2025-11-15,,"Michelle Monaghan","Pixels","March 23, 1976"
266,nm1404408,2025-11-15,2025-11-15,,"Alice Eve","Before We Go","February 6, 1982"
267,nm0004821,2025-11-15,2025-11-15,,"Michael Chiklis","The Senior","August 30, 1963"
268,nm1130627,2025-11-15,2025-11-15,,"Cobie Smulders","The Avengers","April 3, 1982"
269,nm0829576,2025-11-15,2025-11-15,,"Kristen Stewart","The Twilight Saga: Eclipse","April 9, 1990"
270,nm0316079,2025-11-15,2025-11-15,,"Paul Giamatti","Sideways","June 6, 1967"
271,nm1242688,2025-11-15,2025-11-15,,"Josh Hutcherson","The Hunger Games","October 12, 1992"
272,nm0000438,2025-11-15,2025-11-15,,"Ed Harris","Appaloosa","November 28, 1950"
273,nm0000147,2025-11-15,2025-11-15,,"Colin Firth","A Single Man","September 10, 1960"
274,nm0001884,2025-11-15,2025-11-15,,"Max von Sydow","Flash Gordon","April 10, 1929"
275,nm0818055,2025-11-15,2025-11-15,,"Octavia Spencer","Hidden Figures","May 25, 1970"
276,nm0266824,2025-11-15,2025-11-15,,"Dakota Fanning","War of the Worlds","February 23, 1994"
277,nm1631269,2025-11-15,2025-11-15,,"Chloë Grace Moretz","Kick-Ass","February 10, 1997"
278,nm0001626,2025-11-15,2025-11-15,,"Christopher Plummer","Beginners","December 13, 1929"
279,nm0515116,2025-11-15,2025-11-15,,"Blake Lively","Gossip Girl","August 25, 1987"
280,nm0000579,2025-11-15,2025-11-15,,"Ron Perlman","Hand of God","April 13, 1950"
281,nm0000502,2025-11-15,2025-11-15,,"Christopher Lloyd","Back to the Future","October 22, 1938"
