Position,Const,Created,Modified,Description,Name,Known For,Birth Date
48,nm0001752,2025-12-28,2025-12-28,,"Steven Soderbergh","Sex, Lies, and Videotape","January 14, 1963"
49,nm0000231,2025-12-28,2025-12-28,,"Oliver Stone","Platoon","September 15, 1946"
50,nm0000343,2025-12-28,2025-12-28,,"David Cronenberg","The Fly","March 15, 1943"
51,nm0000186,2025-12-28,2025-12-28,,"David Lynch","Twin Peaks","January 20, 1946"
52,nm0001661,2025-12-30,2025-12-30,,"Rob Reiner","All in the Family","March 6, 1947"
53,nm0000154,2025-12-30,2025-12-30,,"Mel Gibson","Braveheart","January 3, 1956"
54,nm0487166,2025-12-30,2025-12-30,,"Yorgos Lanthimos","The Lobster","September 23, 1973"
55,nm1950086,2025-12-30,2025-12-30,,"Greta Gerwig","Barbie","August 4, 1983"
56,nm0796117,2025-12-30,2025-12-30,,"M. Night Shyamalan","Signs","August 6, 1970"
57,nm2125482,2025-12-30,2025-12-30,,"Chloé Zhao","Nomadland","March 31, 1982"
58,nm0001054,2025-12-30,2025-12-30,,"Joel Coen","The Ballad of Buster Scruggs","November 29, 1954"
59,nm0001053,2025-12-30,2025-12-30,,"Ethan Coen","The Ballad of Buster Scruggs","September 21, 1957"
60,nm0001068,2025-12-30,2025-12-30,,"Sofia Coppola","The Godfather Part III","May 14, 1971"
61,nm2193504,2025-12-30,2025-12-30,,"Emerald Fennell","Wuthering Heights","October 1, 1985"
62,nm0000490,2025-12-30,2025-12-30,,"Spike Lee","Do the Right Thing","March 20, 1957"
63,nm0570912,2025-12-30,2025-12-30,,"Adam McKay","Don't Look Up","April 17, 1968"
64,nm0000080,2025-12-30,2025-12-30,,"Orson Welles","Citizen Kane","May 6, 1915"
65,nm0000265,2025-12-30,2025-12-30,,"Robert Altman","Gosford Park","February 20, 1925"
66,nm0000487,2025-12-30,2025-12-30,,"Ang Lee","Xi yan","October 23, 1954"
67,nm0004306,2025-12-30,2025-12-30,,"George Miller","Mad Max: Fury Road","March 3, 1945"
68,nm0005069,2025-12-30,2025-12-30,,"Spike Jonze","Her","October 22, 1969"
69,nm0680846,2025-12-30,2025-12-30,,"Todd Phillips","Joker","December 20, 1970"
70,nm0006904,2025-12-30,2025-12-30,,"Tony Gilroy","Michael Clayton","September 11, 1956"
71,nm0276062,2025-12-30,2025-12-30,,"Todd Field","Tár","February 24"
72,nm2588606,2025-12-30,2025-12-30,,"Steve McQueen","12 Years a Slave","October 9, 1969"
73,nm1503575,2025-12-30,2025-12-30,,"Barry Jenkins","If Beale Street Could Talk","November 19, 1979"
74,nm0000108,2025-12-30,2025-12-30,,"Luc Besson","The Fifth Element","March 18, 1959"
75,nm0905154,2025-12-30,2025-12-30,,"Lana Wachowski","The Matrix","June 21, 1965"
76,nm0905152,2025-12-30,2025-12-30,,"Lilly Wachowski","The Matrix","December 29, 1967"
77,nm0000118,2025-12-30,2025-12-30,,"John Carpenter","Dark Star","January 16, 1948"
78,nm0420941,2025-12-30,2025-12-30,,"Patty Jenkins","Wonder Woman","July 24, 1971"
79,nm0001188,2025-12-30,2025-12-30,,"Nora Ephron","Julie & Julia","May 19, 1941"
80,nm0583600,2025-12-30,2025-12-30,,"Nancy Meyers","It's Complicated","December 8, 1949"
81,nm0661791,2025-12-31,2025-12-31,,"Park Chan-wook","Ah-ga-ssi","August 23, 1963"
82,nm0000983,2025-12-31,2025-12-31,,"Albert Brooks","Drive","July 22, 1947"
83,nm0668247,2025-12-31,2025-12-31,,"Alexander Payne","Nebraska","February 10, 1961"
84,nm0594503,2025-12-31,2025-12-31,,"Hayao Miyazaki","Sen to Chihiro no kamikakushi","January 5, 1941"
85,nm0001348,2025-12-31,2025-12-31,,"Werner Herzog","Fitzcarraldo","September 5, 1942"
86,nm0000041,2025-12-31,2025-12-31,,"Akira Kurosawa","Kagemusha","March 23, 1910"
87,nm0001466,2025-12-31,2025-12-31,,"Sergio Leone","C'era una volta in America","January 3, 1929"
88,nm0000419,2025-12-31,2025-12-31,,"Jean-Luc Godard","Bande à part","December 3, 1930"
89,nm0000076,2025-12-31,2025-12-31,,"François Truffaut","La nuit américaine","February 6, 1932"
90,nm0942367,2025-12-31,2025-12-31,,"Edgar Wright","Shaun of the Dead","April 18, 1974"
91,nm2284484,2025-12-31,2025-12-31,,"Gareth Edwards","Monsters","June 1, 1975"
92,nm1509478,2025-12-31,2025-12-31,,"Benny Safdie","Good Time","February 24, 1986"
93,nm1343394,2025-12-31,2025-12-31,,"Josh Safdie","Uncut Gems","April 3, 1984"
94,nm0426059,2025-12-31,2025-12-31,,"Rian Johnson","Knives Out","December 17, 1973"
95,nm3363032,2025-12-31,2025-12-31,,"Ryan Coogler","Black Panther: Wakanda Forever","May 23, 1986"
96,nm0003160,2025-12-31,2025-12-31,,"Christopher McQuarrie","The Usual Suspects","October 25, 1968"
97,nm2676052,2025-12-31,2025-12-31,,"Joseph Kosinski","F1","May 3, 1974"
